1 0 0 0 0
178 8 0 -8 4 6.9282
179 7 1 -8 3 6.9282
180 6 2 -8 2 6.9282
181 5 3 -8 1 6.9282
182 4 4 -8 0 6.9282
183 3 5 -8 -1 6.9282
184 2 6 -8 -2 6.9282
185 1 7 -8 -3 6.9282
186 0 8 -8 -4 6.9282
187 -1 8 -7 -4.5 6.06218
188 -2 8 -6 -5 5.19615
189 -3 8 -5 -5.5 4.33013
190 -4 8 -4 -6 3.4641
191 -5 8 -3 -6.5 2.59808
192 -6 8 -2 -7 1.73205
193 -7 8 -1 -7.5 0.866025
194 -8 8 0 -8 0
195 -8 7 1 -7.5 -0.866025
196 -8 6 2 -7 -1.73205
197 -8 5 3 -6.5 -2.59808
198 -8 4 4 -6 -3.4641
199 -8 3 5 -5.5 -4.33013
200 -8 2 6 -5 -5.19615
201 -8 1 7 -4.5 -6.06218
202 -8 0 8 -4 -6.9282
203 -7 -1 8 -3 -6.9282
204 -6 -2 8 -2 -6.9282
205 -5 -3 8 -1 -6.9282
206 -4 -4 8 0 -6.9282
207 -3 -5 8 1 -6.9282
208 -2 -6 8 2 -6.9282
209 -1 -7 8 3 -6.9282
210 0 -8 8 4 -6.9282
211 1 -8 7 4.5 -6.06218
212 2 -8 6 5 -5.19615
213 3 -8 5 5.5 -4.33013
214 4 -8 4 6 -3.4641
215 5 -8 3 6.5 -2.59808
216 6 -8 2 7 -1.73205
217 7 -8 1 7.5 -0.866025
218 9 -9 0 9 0
219 9 -8 -1 8.5 0.866025
220 9 -7 -2 8 1.73205
221 9 -6 -3 7.5 2.59808
222 9 -5 -4 7 3.4641
223 9 -4 -5 6.5 4.33013
224 9 -3 -6 6 5.19615
225 9 -2 -7 5.5 6.06218
226 9 -1 -8 5 6.9282
227 9 0 -9 4.5 7.79423
228 8 1 -9 3.5 7.79423
229 7 2 -9 2.5 7.79423
230 6 3 -9 1.5 7.79423
231 5 4 -9 0.5 7.79423
232 4 5 -9 -0.5 7.79423
233 3 6 -9 -1.5 7.79423
234 2 7 -9 -2.5 7.79423
235 1 8 -9 -3.5 7.79423
236 0 9 -9 -4.5 7.79423
237 -1 9 -8 -5 6.9282
238 -2 9 -7 -5.5 6.06218
239 -3 9 -6 -6 5.19615
240 -4 9 -5 -6.5 4.33013
241 -5 9 -4 -7 3.4641
242 -6 9 -3 -7.5 2.59808
243 -7 9 -2 -8 1.73205
244 -8 9 -1 -8.5 0.866025
245 -9 9 0 -9 0
246 -9 8 1 -8.5 -0.866025
247 -9 7 2 -8 -1.73205
248 -9 6 3 -7.5 -2.59808
249 -9 5 4 -7 -3.4641
250 -9 4 5 -6.5 -4.33013
251 -9 3 6 -6 -5.19615
252 -9 2 7 -5.5 -6.06218
253 -9 1 8 -5 -6.9282
254 -9 0 9 -4.5 -7.79423
255 -8 -1 9 -3.5 -7.79423
256 -7 -2 9 -2.5 -7.79423
257 -6 -3 9 -1.5 -7.79423
258 -5 -4 9 -0.5 -7.79423
259 -4 -5 9 0.5 -7.79423
260 -3 -6 9 1.5 -7.79423
261 -2 -7 9 2.5 -7.79423
262 -1 -8 9 3.5 -7.79423
263 0 -9 9 4.5 -7.79423
264 1 -9 8 5 -6.9282
265 2 -9 7 5.5 -6.06218
266 3 -9 6 6 -5.19615
267 4 -9 5 6.5 -4.33013
268 5 -9 4 7 -3.4641
269 6 -9 3 7.5 -2.59808
270 7 -9 2 8 -1.73205
271 8 -9 1 8.5 -0.866025
272 10 -10 0 10 0
273 10 -9 -1 9.5 0.866025
274 10 -8 -2 9 1.73205
275 10 -7 -3 8.5 2.59808
276 10 -6 -4 8 3.4641
277 10 -5 -5 7.5 4.33013
278 10 -4 -6 7 5.19615
279 10 -3 -7 6.5 6.06218
280 10 -2 -8 6 6.9282
281 10 -1 -9 5.5 7.79423
282 10 0 -10 5 8.66025
283 9 1 -10 4 8.66025
284 8 2 -10 3 8.66025
285 7 3 -10 2 8.66025
286 6 4 -10 1 8.66025
287 5 5 -10 0 8.66025
288 4 6 -10 -1 8.66025
289 3 7 -10 -2 8.66025
290 2 8 -10 -3 8.66025
291 1 9 -10 -4 8.66025
292 0 10 -10 -5 8.66025
293 -1 10 -9 -5.5 7.79423
294 -2 10 -8 -6 6.9282
295 -3 10 -7 -6.5 6.06218
296 -4 10 -6 -7 5.19615
297 -5 10 -5 -7.5 4.33013
298 -6 10 -4 -8 3.4641
299 -7 10 -3 -8.5 2.59808
300 -8 10 -2 -9 1.73205
301 -9 10 -1 -9.5 0.866025
302 -10 10 0 -10 0
303 -10 9 1 -9.5 -0.866025
304 -10 8 2 -9 -1.73205
305 -10 7 3 -8.5 -2.59808
306 -10 6 4 -8 -3.4641
307 -10 5 5 -7.5 -4.33013
308 -10 4 6 -7 -5.19615
309 -10 3 7 -6.5 -6.06218
310 -10 2 8 -6 -6.9282
311 -10 1 9 -5.5 -7.79423
312 -10 0 10 -5 -8.66025
313 -9 -1 10 -4 -8.66025
314 -8 -2 10 -3 -8.66025
315 -7 -3 10 -2 -8.66025
316 -6 -4 10 -1 -8.66025
317 -5 -5 10 0 -8.66025
318 -4 -6 10 1 -8.66025
319 -3 -7 10 2 -8.66025
320 -2 -8 10 3 -8.66025
321 -1 -9 10 4 -8.66025
322 0 -10 10 5 -8.66025
323 1 -10 9 5.5 -7.79423
324 2 -10 8 6 -6.9282
325 3 -10 7 6.5 -6.06218
326 4 -10 6 7 -5.19615
327 5 -10 5 7.5 -4.33013
328 6 -10 4 8 -3.4641
329 7 -10 3 8.5 -2.59808
330 8 -10 2 9 -1.73205
331 9 -10 1 9.5 -0.866025
332 11 -11 0 11 0
333 11 -10 -1 10.5 0.866025
334 11 -9 -2 10 1.73205
335 11 -8 -3 9.5 2.59808
336 11 -7 -4 9 3.4641
337 11 -6 -5 8.5 4.33013
338 11 -5 -6 8 5.19615
339 11 -4 -7 7.5 6.06218
340 11 -3 -8 7 6.9282
341 11 -2 -9 6.5 7.79423
342 11 -1 -10 6 8.66025
343 11 0 -11 5.5 9.52628
344 10 1 -11 4.5 9.52628
345 9 2 -11 3.5 9.52628
346 8 3 -11 2.5 9.52628
347 7 4 -11 1.5 9.52628
348 6 5 -11 0.5 9.52628
349 5 6 -11 -0.5 9.52628
350 4 7 -11 -1.5 9.52628
351 3 8 -11 -2.5 9.52628
352 2 9 -11 -3.5 9.52628
353 1 10 -11 -4.5 9.52628
354 0 11 -11 -5.5 9.52628
355 -1 11 -10 -6 8.66025
356 -2 11 -9 -6.5 7.79423
357 -3 11 -8 -7 6.9282
358 -4 11 -7 -7.5 6.06218
359 -5 11 -6 -8 5.19615
360 -6 11 -5 -8.5 4.33013
361 -7 11 -4 -9 3.4641
362 -8 11 -3 -9.5 2.59808
363 -9 11 -2 -10 1.73205
364 -10 11 -1 -10.5 0.866025
365 -11 11 0 -11 0
366 -11 10 1 -10.5 -0.866025
367 -11 9 2 -10 -1.73205
368 -11 8 3 -9.5 -2.59808
369 -11 7 4 -9 -3.4641
370 -11 6 5 -8.5 -4.33013
371 -11 5 6 -8 -5.19615
372 -11 4 7 -7.5 -6.06218
373 -11 3 8 -7 -6.9282
374 -11 2 9 -6.5 -7.79423
375 -11 1 10 -6 -8.66025
376 -11 0 11 -5.5 -9.52628
377 -10 -1 11 -4.5 -9.52628
378 -9 -2 11 -3.5 -9.52628
379 -8 -3 11 -2.5 -9.52628
380 -7 -4 11 -1.5 -9.52628
381 -6 -5 11 -0.5 -9.52628
382 -5 -6 11 0.5 -9.52628
383 -4 -7 11 1.5 -9.52628
384 -3 -8 11 2.5 -9.52628
385 -2 -9 11 3.5 -9.52628
386 -1 -10 11 4.5 -9.52628
387 0 -11 11 5.5 -9.52628
388 1 -11 10 6 -8.66025
389 2 -11 9 6.5 -7.79423
390 3 -11 8 7 -6.9282
391 4 -11 7 7.5 -6.06218
392 5 -11 6 8 -5.19615
393 6 -11 5 8.5 -4.33013
394 7 -11 4 9 -3.4641
395 8 -11 3 9.5 -2.59808
396 9 -11 2 10 -1.73205
397 10 -11 1 10.5 -0.866025
398 12 -12 0 12 0
399 12 -11 -1 11.5 0.866025
400 12 -10 -2 11 1.73205
401 12 -9 -3 10.5 2.59808
402 12 -8 -4 10 3.4641
403 12 -7 -5 9.5 4.33013
404 12 -6 -6 9 5.19615
405 12 -5 -7 8.5 6.06218
406 12 -4 -8 8 6.9282
407 12 -3 -9 7.5 7.79423
408 12 -2 -10 7 8.66025
409 12 -1 -11 6.5 9.52628
410 12 0 -12 6 10.3923
411 11 1 -12 5 10.3923
412 10 2 -12 4 10.3923
413 9 3 -12 3 10.3923
414 8 4 -12 2 10.3923
415 7 5 -12 1 10.3923
