 17     -2.043    -0.3126       1696
 18     -1.533    -0.2345       1697
 19     -1.022    -0.1563       1698
 20    -0.5108   -0.07819       1699
 21  4.712e-05 -6.267e-05       1700
 22     0.5109    0.07807       1701
 23      1.022     0.1562       1702
 24      1.533     0.2343       1703
 25      2.044     0.3125       1704
 26      2.554     0.3906       1705
 27      3.065     0.4687       1706
 28      3.576     0.5469       1707
 29      4.087      0.625       1708
 30      4.598     0.7031       1709
 31      5.109     0.7813       1710
 32       5.62     0.8594       1711
 33       6.13     0.9375       1712
 34      6.641      1.016       1713
 35      7.152      1.094       1714
 36      7.663      1.172       1715
 37      8.174       1.25       1716
 38      8.685      1.328       1717
 39      9.196      1.406       1718
 40      9.706      1.484       1719
 41      10.22      1.563       1720
  1     -10.21    -0.9369       1680
  2     -9.698      -0.89       1681
  3     -9.187    -0.8432       1682
  4     -8.677    -0.7963       1683
  5     -8.166    -0.7495       1684
  6     -7.656    -0.7027       1685
  7     -7.146    -0.6558       1686
  8     -6.635     -0.609       1687
  9     -6.125    -0.5621       1688
 10     -5.614    -0.5153       1689
 11     -5.104    -0.4684       1690
 12     -4.594    -0.4216       1691
 13     -4.083    -0.3748       1692
 14     -3.573    -0.3279       1693
 15     -3.062    -0.2811       1694
 16     -2.552    -0.2342       1695
 17     -2.042    -0.1874       1696
 18     -1.531    -0.1405       1697
 19     -1.021    -0.0937       1698
 20    -0.5104   -0.04686       1699
 21 -1.177e-06 -1.329e-05       1700
 22     0.5104    0.04683       1701
 23      1.021    0.09367       1702
 24      1.531     0.1405       1703
 25      2.042     0.1874       1704
 26      2.552     0.2342       1705
 27      3.062      0.281       1706
 28      3.573     0.3279       1707
 29      4.083     0.3747       1708
 30      4.594     0.4216       1709
 31      5.104     0.4684       1710
 32      5.614     0.5153       1711
 33      6.125     0.5621       1712
 34      6.635     0.6089       1713
 35      7.146     0.6558       1714
 36      7.656     0.7026       1715
 37      8.166     0.7495       1716
 38      8.677     0.7963       1717
 39      9.187     0.8432       1718
 40      9.698       0.89       1719
 41      10.21     0.9368       1720
  1      -10.2    -0.3122       1680
