 19     0.6332    0.09677       1698
 20      1.145     0.1751       1699
 21      1.657     0.2534       1700
 22      2.169     0.3316       1701
 23      2.681     0.4099       1702
 24      3.193     0.4882       1703
 25      3.705     0.5665       1704
 26      4.217     0.6448       1705
 27      4.728     0.7231       1706
 28       5.24     0.8014       1707
 29      5.752     0.8797       1708
 30      6.264      0.958       1709
 31      6.776      1.036       1710
 32      7.288      1.115       1711
 33        7.8      1.193       1712
 34      8.312      1.271       1713
 35      8.824      1.349       1714
 36      9.336      1.428       1715
 37      9.847      1.506       1716
 38      10.36      1.584       1717
 39      10.87      1.663       1718
 40      11.38      1.741       1719
 41       11.9      1.819       1720
  1     -8.576    -0.7871       1680
  2     -8.064    -0.7401       1681
  3     -7.553    -0.6932       1682
  4     -7.042    -0.6463       1683
  5      -6.53    -0.5993       1684
  6     -6.019    -0.5524       1685
  7     -5.507    -0.5055       1686
  8     -4.996    -0.4585       1687
  9     -4.484    -0.4116       1688
 10     -3.973    -0.3646       1689
 11     -3.462    -0.3177       1690
 12      -2.95    -0.2708       1691
 13     -2.439    -0.2238       1692
 14     -1.927    -0.1769       1693
 15     -1.416      -0.13       1694
 16    -0.9044   -0.08302       1695
 17     -0.393   -0.03608       1696
 18     0.1185    0.01086       1697
 19     0.6299     0.0578       1698
 20      1.141     0.1047       1699
 21      1.653     0.1517       1700
 22      2.164     0.1986       1701
 23      2.676     0.2455       1702
 24      3.187     0.2925       1703
 25      3.698     0.3394       1704
 26       4.21     0.3864       1705
 27      4.721     0.4333       1706
 28      5.233     0.4802       1707
 29      5.744     0.5272       1708
 30      6.256     0.5741       1709
 31      6.767      0.621       1710
 32      7.278      0.668       1711
 33       7.79     0.7149       1712
 34      8.301     0.7619       1713
 35      8.813     0.8088       1714
 36      9.324     0.8557       1715
 37      9.836     0.9027       1716
 38      10.35     0.9496       1717
 39      10.86     0.9965       1718
 40      11.37      1.043       1719
 41      11.88       1.09       1720
  1     -8.573    -0.2624       1680
  2     -8.062    -0.2467       1681
  3     -7.551    -0.2311       1682
  4      -7.04    -0.2154       1683
  5     -6.528    -0.1998       1684
  6     -6.017    -0.1842       1685
  7     -5.506    -0.1685       1686
  8     -4.995    -0.1529       1687
  9     -4.484    -0.1372       1688
 10     -3.972    -0.1216       1689
 11     -3.461     -0.106       1690
 12      -2.95   -0.09032       1691
 13     -2.439   -0.07469       1692
 14     -1.928   -0.05905       1693
 15     -1.417   -0.04341       1694
 16    -0.9053   -0.02777       1695
 17    -0.3941   -0.01213       1696
 18     0.1171   0.003513       1697
 19     0.6283    0.01915       1698
 20      1.139    0.03479       1699
 21      1.651    0.05043       1700
 22      2.162    0.06607       1701
 23      2.673    0.08171       1702
 24      3.184    0.09735       1703
 25      3.695      0.113       1704
 26      4.207     0.1286       1705
 27      4.718     0.1443       1706
 28      5.229     0.1599       1707
 29       5.74     0.1755       1708
 30      6.251     0.1912       1709
 31      6.763     0.2068       1710
 32      7.274     0.2225       1711
 33      7.785     0.2381       1712
 34      8.296     0.2537       1713
 35      8.807     0.2694       1714
 36      9.319      0.285       1715
 37       9.83     0.3007       1716
 38      10.34     0.3163       1717
 39      10.85     0.3319       1718
 40      11.36     0.3476       1719
 41      11.87     0.3632       1720
  1     -8.573     0.2623       1680
  2     -8.062     0.2467       1681
  3     -7.551      0.231       1682
  4      -7.04     0.2154       1683
  5     -6.528     0.1997       1684
  6     -6.017     0.1841       1685
  7     -5.506     0.1685       1686
  8     -4.995     0.1528       1687
  9     -4.484     0.1372       1688
 10     -3.972     0.1215       1689
 11     -3.461     0.1059       1690
 12      -2.95    0.09026       1691
 13     -2.439    0.07462       1692
 14     -1.928    0.05898       1693
 15     -1.417    0.04334       1694
 16    -0.9053     0.0277       1695
 17    -0.3941    0.01206       1696
 18     0.1171  -0.003583       1697
 19     0.6283   -0.01922       1698
 20      1.139   -0.03486       1699
 21      1.651    -0.0505       1700
 22      2.162   -0.06614       1701
 23      2.673   -0.08178       1702
 24      3.184   -0.09742       1703
 25      3.695    -0.1131       1704
 26      4.207    -0.1287       1705
 27      4.718    -0.1443       1706
 28      5.229      -0.16       1707
 29       5.74    -0.1756       1708
 30      6.251    -0.1913       1709
 31      6.763    -0.2069       1710
 32      7.274    -0.2225       1711
 33      7.785    -0.2382       1712
 34      8.296    -0.2538       1713
 35      8.807    -0.2695       1714
 36      9.319    -0.2851       1715
 37       9.83    -0.3007       1716
 38      10.34    -0.3164       1717
 39      10.85     -0.332       1718
