 10.00000     261.2531     .3918796E-02
 20.00000     4502.303     .1193853E-01
 30.00000     13915.83     .1339051E-01
 40.00000     25920.27     .1215013E-01
 50.00000     41202.43     .1105577E-01
 60.00000     49759.27     .8464225E-02
 80.00000     61940.04     .5132604E-02
 100.0000     66635.02     .3160777E-02
 150.0000     73734.79     .1269216E-02
 250.0000     73146.90     .3511051E-03
 500.0000     95423.15     .8096923E-04
 1000.000     98333.99     .1475010E-04
 2000.000     113037.2     .2997351E-05
