 1 0.72250346600087
 1.1 0.872769408179299
 1.2 0.958355708158812
 1.3 0.987300946282448
 1.4 0.967093597231486
 1.5 0.90467203002546
 1.6 0.806424508022151
 1.7 0.678189188917599
 1.8 0.52525412474608
 1.9 0.352357261880119
 2 0.163686441030515
 2.1 -0.0371206027537181
 2.2 -0.246976240085285
 2.3 -0.463342947238672
 2.4 -0.68423330615009
 2.5 -0.90821000441751
 2.6 -1.13438583530065
 2.7 -1.36242369772099
 2.8 -1.59253659626175
 2.9 -1.8254876411679
 3 -2.06259004834616
 3.1 -2.30570713936502
 3.2 -2.55725234145468
