# pulseMAGIC - pulse shape for MAGIC telescope simulation
#              tries to include everything until before the FADCs
# name: pulseMAGIC
# type: matrix
# rows: 200
# columns: 2
 0.05 3.25433873690005e-19
 0.15 1.25984882877435e-13
 0.25 4.22915002315388e-11
 0.35 1.75736518631827e-09
 0.45 2.63612227494112e-08
 0.55 2.15978363199123e-07
 0.65 1.18552170821812e-06
 0.75 4.89554429611983e-06
 0.85 1.63460252913655e-05
 0.95 4.6298628880109e-05
 1.05 0.000115031126283679
 1.15 0.000256870959423834
 1.25 0.000525020326424326
 1.35 0.000996034388515895
 1.45 0.00177327925351767
 1.55 0.00298877734514244
 1.65 0.00480302004197336
 1.75 0.00740255312236658
 1.85 0.010995379151317
 1.95 0.0158044376374684
 2.05 0.0220595938109108
 2.15 0.029988676889762
 2.25 0.0398081558357913
 2.35 0.0517140301241308
 2.45 0.0658734556167451
 2.55 0.0824175345699886
 2.65 0.101435587926396
 2.75 0.122971109995856
 2.85 0.147019490929926
 2.95 0.173527488928489
 3.05 0.202394347112112
 3.15 0.233474382225009
 3.25 0.266580824531726
 3.35 0.301490659583669
 3.45 0.337950210997003
 3.55 0.37568120635829
 3.65 0.414387082896843
 3.75 0.45375931263738
 3.85 0.493483555549958
 3.95 0.533245481232437
 4.05 0.572736132766382
 4.15 0.611656738869221
 4.25 0.649722911023403
 4.35 0.686668189978865
 4.45 0.722246930316369
 4.55 0.756236532329219
 4.65 0.788439047262247
 4.75 0.818682195050016
 4.85 0.846819843360614
 4.95 0.872732003303561
 5.05 0.896324400978843
 5.15 0.917527685529558
 5.25 0.936296333915182
 5.35 0.952607310630585
 5.45 0.966458537416229
 5.55 0.977867223958181
 5.65 0.986868105947276
 5.75 0.993511631895176
 5.85 0.997862134995344
 5.95 0.999996021230853
 6.05 1
 6.15 0.997969378850033
 6.25 0.994006439551643
 6.35 0.988218908756527
 6.45 0.980718532886323
 6.55 0.971619763712423
 6.65 0.961038558302187
 6.75 0.949091294614106
 6.85 0.93589380200449
 6.95 0.921560504235122
 7.05 0.906203671217739
 7.15 0.889932774666324
 7.25 0.872853942021504
 7.35 0.855069502431986
 7.45 0.836677618196206
 7.55 0.817771994855222
 7.65 0.798441663058672
 7.75 0.77877082537557
 7.85 0.758838761368221
 7.95 0.73871978447177
 8.05 0.718483244505243
 8.15 0.698193569968397
 8.25 0.67791034463774
 8.35 0.657688413354634
 8.45 0.637578012287731
 8.55 0.617624919344253
 8.65 0.597870620792436
 8.75 0.578352490536248
 8.85 0.559103978848612
 8.95 0.540154807718391
 9.05 0.521531170296237
 9.15 0.503255932234358
 9.25 0.485348833003691
 9.35 0.467826685539049
 9.45 0.450703572807966
 9.55 0.433991040123082
 9.65 0.417698282221007
 9.75 0.401832324314102
 9.85 0.386398196485746
 9.95 0.371399100946209
 10.05 0.356836571795661
 10.15 0.342710627054885
 10.25 0.32901991282357
 10.35 0.315761839512144
 10.45 0.302932710167104
 10.55 0.290527840972481
 10.65 0.278541674062979
 10.75 0.266967882828033
 10.85 0.255799469921782
 10.95 0.245028858222475
 11.05 0.234647975006961
 11.15 0.224648329622508
 11.25 0.215021084949874
 11.35 0.205757122958968
 11.45 0.196847104662188
 11.55 0.188281524771119
 11.65 0.180050761360248
 11.75 0.172145120837057
 11.85 0.164554878511686
 11.95 0.15727031505172
 12.05 0.150281749098777
 12.15 0.143579566313769
 12.25 0.137154245107147
 12.35 0.130996379299395
 12.45 0.125096697945668
 12.55 0.119446082546877
 12.65 0.114035581857863
 12.75 0.108856424491755
 12.85 0.103900029508088
 12.95 0.099158015161094
 13.05 0.0946222059735266
 13.15 0.0902846382908085
 13.25 0.0861375644599618
 13.35 0.0821734557679195
 13.45 0.0783850042643311
 13.55 0.0747651235849262
 13.65 0.0713069488828886
 13.75 0.0680038359675187
 13.85 0.0648493597417332
 13.95 0.061837312022635
 14.05 0.0589616988225192
 14.15 0.0562167371612151
 14.25 0.0535968514746101
 14.35 0.0510966696785301
 14.45 0.0487110189418578
 14.55 0.0464349212178436
 14.65 0.0442635885779766
 14.75 0.0421924183885182
 14.85 0.0402169883658595
 14.95 0.0383330515432087
 15.05 0.0365365311777436
 15.15 0.0348235156242522
 15.25 0.0331902531984246
 15.35 0.0316331470503217
 15.45 0.0301487500661481
 15.55 0.0287337598142303
 15.65 0.0273850135490957
 15.75 0.0260994832856967
 15.85 0.0248742709541527
 15.95 0.0237066036438551
 16.05 0.0225938289443985
 16.15 0.0215334103895495
 16.25 0.0205229230093345
 16.35 0.0195600489943117
 16.45 0.0186425734751742
 16.55 0.0177683804200145
 16.65 0.0169354486508472
 16.75 0.0161418479803342
 16.85 0.0153857354690786
 16.95 0.0146653518033422
 17.05 0.0139790177925881
 17.15 0.0133251309858626
 17.25 0.0127021624056789
 17.35 0.0121086533977732
 17.45 0.01154321259485
 17.55 0.0110045129922097
 17.65 0.0104912891329778
 17.75 0.0100023344004968
 17.85 0.0095364984153198
 17.95 0.00909268453415019
 18.05 0.00866984744798941
 18.15 0.00826699087670361
 18.25 0.0078831653571801
 18.35 0.0075174661222219
 18.45 0.0071690310673213
 18.55 0.00683703880245745
 18.65 0.00652070678607647
 18.75 0.00621928953843986
 18.85 0.00593207693155694
 18.95 0.00565839255295848
 19.05 0.00539759214061392
 19.15 0.00514906208634563
 19.25 0.00491221800514912
 19.35 0.00468650336788713
 19.45 0.00447138819488603
 19.55 0.00426636780802902
 19.65 0.00407096163900455
 19.75 0.00388471209143617
 19.85 0.00370718345468763
 19.95 0.00353796086720558
